Function,CPU Time (in Seconds),CPU Time:Effective Time,CPU Time:Effective Time:Idle,CPU Time:Effective Time:Poor,CPU Time:Effective Time:Ok,CPU Time:Effective Time:Ideal,CPU Time:Effective Time:Over,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address,,,,,,,,,,,,,,,,
partialButterflyInverse32,0.071977,0.071977,0,0.071977,0,0,0,0,0,TAppDecoderStatic,partialButterflyInverse32(int*, int*, int, int, int, int),[Unknown],0x8daa0,,,,,,,,,,,
__memset_avx2_unaligned_erms,0.036011,0.036011,0,0.036011,0,0,0,0,0,libc.so.6,__memset_avx2_unaligned_erms,memset-vec-unaligned-erms.S,0x18f1c0,,,,,,,,,,,,,,,,
TDecBinCABAC::decodeBin,0.032003,0.032003,0,0.032003,0,0,0,0,0,TAppDecoderStatic,TDecBinCABAC::decodeBin(unsigned int&, ContextModel&),[Unknown],0x2b980,,,,,,,,,,,,,,,
TComLoopFilter::xEdgeFilterLuma,0.03199,0.03199,0,0.03199,0,0,0,0,0,TAppDecoderStatic,TComLoopFilter::xEdgeFilterLuma(TComDataCU*, unsigned int, unsigned int, DeblockEdgeDir, int),[Unknown],0x606d0,,,,,,,,,,,,
__GI_,0.022002,0.022002,0,0.022002,0,0,0,0,0,libc.so.6,float __GI_(long, int, bool, char),malloc.c,0x979c0,,,,,,,,,,,,,
TDecBinCABAC::decodeBinsEP,0.012015,0.012015,0,0.012015,0,0,0,0,0,TAppDecoderStatic,TDecBinCABAC::decodeBinsEP(unsigned int&, int),[Unknown],0x2bd70,,,,,,,,,,,,,,,
TComSampleAdaptiveOffset::offsetBlock,0.012007,0.012007,0,0.012007,0,0,0,0,0,TAppDecoderStatic,TComSampleAdaptiveOffset::offsetBlock(int, int, int*, short*, short*, int, int, int, int, bool, bool, bool, bool, bool, bool, bool, bool),[Unknown],0x505a0
TDecCu::xDecompressCU,0.012005,0.012005,0,0.012005,0,0,0,0,0,TAppDecoderStatic,TDecCu::xDecompressCU(TComDataCU*, unsigned int, unsigned int),[Unknown],0x41b30,,,,,,,,,,,,,,
TComPrediction::initIntraPatternChType,0.012003,0.012003,0,0.012003,0,0,0,0,0,TAppDecoderStatic,TComPrediction::initIntraPatternChType(TComTU&, ComponentID, bool),[Unknown],0x6c8c0,,,,,,,,,,,,,,
__libc_calloc,0.012003,0.012003,0,0.012003,0,0,0,0,0,libc.so.6,__libc_calloc,malloc.c,0x9a0a0,,,,,,,,,,,,,,,,
TComTU::TComTU,0.012001,0.012001,0,0.012001,0,0,0,0,0,TAppDecoderStatic,TComTU::TComTU(TComTU&, bool, TComTU::TU_SPLIT_MODE, bool, ComponentID),[Unknown],0x9a690,,,,,,,,,,,,
func@0x7c10,0.011998,0.011998,0,0.011998,0,0,0,0,0,TAppDecoderStatic,func@0x7c10,[Unknown],0x7c10,,,,,,,,,,,,,,,,
__memset_avx2_erms,0.011994,0.011994,0,0.011994,0,0,0,0,0,libc.so.6,__memset_avx2_erms,memset-vec-unaligned-erms.S,0x18f190,,,,,,,,,,,,,,,,
__memmove_avx_unaligned_erms,0.008003,0.008003,0,0.008003,0,0,0,0,0,libc.so.6,__memmove_avx_unaligned_erms,memmove-vec-unaligned-erms.S,0x18ed40,,,,,,,,,,,,,,,,
TComDataCU::getPUAbove,0.007999,0.007999,0,0.007999,0,0,0,0,0,TAppDecoderStatic,TComDataCU::getPUAbove(unsigned int&, unsigned int, bool, bool, bool) const,[Unknown],0x583b0,,,,,,,,,,,,
TComLoopFilter::loopFilterPic,0.007999,0.007999,0,0.007999,0,0,0,0,0,TAppDecoderStatic,TComLoopFilter::loopFilterPic(TComPic*),[Unknown],0x620b0,,,,,,,,,,,,,,,,
fillReferenceSamples,0.007997,0.007997,0,0.007997,0,0,0,0,0,TAppDecoderStatic,fillReferenceSamples(int, short const*, short*, bool const*, int, int, int, int, int, unsigned int, unsigned int, int),[Unknown],0x6b150,,,,,
TComPrediction::xPredIntraAng,0.007994,0.007994,0,0.007994,0,0,0,0,0,TAppDecoderStatic,TComPrediction::xPredIntraAng(int, short const*, int, short*, int, unsigned int, unsigned int, ChannelType, unsigned int, bool),[Unknown],0x75d30,,,,,,,
