Seq Name,Codec Name,Config Name,QP,CPU Time
RaceHorses_416x240_30.yuv,hm,encoder_intra_main.cfg,27,4.670s
RaceHorses_416x240_30.yuv,hm,encoder_intra_main.cfg,32,3.890s
Kimono_1920x1080_24.yuv,hm,encoder_intra_main.cfg,27,64.180s
Kimono_1920x1080_24.yuv,hm,encoder_intra_main.cfg,32,58.420s
BasketballPass_416x240_50.yuv,hm,encoder_intra_main.cfg,27,4.210s
BasketballPass_416x240_50.yuv,hm,encoder_intra_main.cfg,32,4.360s
RaceHorses_416x240_30.yuv,hm,encoder_lowdelay_main.cfg,27,15.240s
RaceHorses_416x240_30.yuv,hm,encoder_lowdelay_main.cfg,32,11.400s
Kimono_1920x1080_24.yuv,hm,encoder_lowdelay_main.cfg,27,189.010s
Kimono_1920x1080_24.yuv,hm,encoder_lowdelay_main.cfg,32,161.415s
BasketballPass_416x240_50.yuv,hm,encoder_lowdelay_main.cfg,27,7.900s
BasketballPass_416x240_50.yuv,hm,encoder_lowdelay_main.cfg,32,7.910s
RaceHorses_416x240_30.yuv,hm,encoder_randomaccess_main.cfg,27,13.380s
RaceHorses_416x240_30.yuv,hm,encoder_randomaccess_main.cfg,32,9.460s
Kimono_1920x1080_24.yuv,hm,encoder_randomaccess_main.cfg,27,161.229s
Kimono_1920x1080_24.yuv,hm,encoder_randomaccess_main.cfg,32,144.570s
BasketballPass_416x240_50.yuv,hm,encoder_randomaccess_main.cfg,27,6.520s
BasketballPass_416x240_50.yuv,hm,encoder_randomaccess_main.cfg,32,6.650s
