Seq Name,Codec Name,Config Name,QP,Bitrate,Y-PSNR,CPU Time,Encoding_FPS/Frame_Rate
RaceHorses_416x240_30.yuv,hm,encoder_intra_main.cfg,22,5232.2400,42.2153,1.970s,0.034
RaceHorses_416x240_30.yuv,hm,encoder_intra_main.cfg,27,3269.5200,38.0020,2.150s,0.031
RaceHorses_416x240_30.yuv,hm,encoder_intra_main.cfg,32,1897.5600,33.9983,1.278s,0.052
RaceHorses_416x240_30.yuv,hm,encoder_intra_main.cfg,37,1027.0800,30.5315,0.930s,0.072
Kimono_1920x1080_24.yuv,hm,encoder_intra_main.cfg,22,13447.9680,43.0928,28.680s,0.003
Kimono_1920x1080_24.yuv,hm,encoder_intra_main.cfg,27,8431.4880,41.7828,24.158s,0.003
Kimono_1920x1080_24.yuv,hm,encoder_intra_main.cfg,32,5392.3200,39.9861,21.220s,0.004
Kimono_1920x1080_24.yuv,hm,encoder_intra_main.cfg,37,3301.2480,37.5362,20.550s,0.004
BasketballPass_416x240_50.yuv,hm,encoder_intra_main.cfg,22,5406.0000,42.5746,1.180s,0.034
BasketballPass_416x240_50.yuv,hm,encoder_intra_main.cfg,27,3222.6000,39.0511,1.000s,0.04
BasketballPass_416x240_50.yuv,hm,encoder_intra_main.cfg,32,1801.8000,35.5794,1.540s,0.026
BasketballPass_416x240_50.yuv,hm,encoder_intra_main.cfg,37,1002.8000,32.3685,0.730s,0.055
RaceHorses_416x240_30.yuv,hm,encoder_lowdelay_main.cfg,22,3428.7600,41.0101,4.280s,0.016
RaceHorses_416x240_30.yuv,hm,encoder_lowdelay_main.cfg,27,2044.8000,36.8827,3.190s,0.021
RaceHorses_416x240_30.yuv,hm,encoder_lowdelay_main.cfg,32,1188.9600,33.2687,2.960s,0.023
RaceHorses_416x240_30.yuv,hm,encoder_lowdelay_main.cfg,37,627.9600,30.0505,1.610s,0.041
Kimono_1920x1080_24.yuv,hm,encoder_lowdelay_main.cfg,22,9685.1520,42.6419,49.070s,0.002
Kimono_1920x1080_24.yuv,hm,encoder_lowdelay_main.cfg,27,5491.3920,40.9402,42.114s,0.002
Kimono_1920x1080_24.yuv,hm,encoder_lowdelay_main.cfg,32,3342.8160,38.8746,30.178s,0.003
Kimono_1920x1080_24.yuv,hm,encoder_lowdelay_main.cfg,37,1991.7120,36.4890,29.989s,0.003
BasketballPass_416x240_50.yuv,hm,encoder_lowdelay_main.cfg,22,3222.2000,42.3776,1.440s,0.028
BasketballPass_416x240_50.yuv,hm,encoder_lowdelay_main.cfg,27,1863.2000,38.8093,1.850s,0.022
BasketballPass_416x240_50.yuv,hm,encoder_lowdelay_main.cfg,32,1069.0000,35.5842,1.390s,0.029
BasketballPass_416x240_50.yuv,hm,encoder_lowdelay_main.cfg,37,574.6000,32.4722,0.830s,0.048
RaceHorses_416x240_30.yuv,hm,encoder_randomaccess_main.cfg,22,3811.3200,41.5252,4.140s,0.016
RaceHorses_416x240_30.yuv,hm,encoder_randomaccess_main.cfg,27,2387.7600,37.5561,2.870s,0.023
RaceHorses_416x240_30.yuv,hm,encoder_randomaccess_main.cfg,32,1423.2000,34.0626,2.270s,0.029
RaceHorses_416x240_30.yuv,hm,encoder_randomaccess_main.cfg,37,792.2400,30.9079,1.720s,0.039
Kimono_1920x1080_24.yuv,hm,encoder_randomaccess_main.cfg,22,12294.9120,42.7608,47.830s,0.002
Kimono_1920x1080_24.yuv,hm,encoder_randomaccess_main.cfg,27,6231.4560,40.9628,39.090s,0.002
Kimono_1920x1080_24.yuv,hm,encoder_randomaccess_main.cfg,32,3841.7280,39.1509,34.770s,0.002
Kimono_1920x1080_24.yuv,hm,encoder_randomaccess_main.cfg,37,2371.7760,36.9490,27.200s,0.003
BasketballPass_416x240_50.yuv,hm,encoder_randomaccess_main.cfg,22,3822.0000,43.2122,1.530s,0.026
BasketballPass_416x240_50.yuv,hm,encoder_randomaccess_main.cfg,27,2291.6000,39.7520,1.450s,0.028
BasketballPass_416x240_50.yuv,hm,encoder_randomaccess_main.cfg,32,1322.8000,36.6218,1.240s,0.032
BasketballPass_416x240_50.yuv,hm,encoder_randomaccess_main.cfg,37,731.2000,33.4731,1.000s,0.04
