Bitrate (kbps)	CPU Time	Power Consumption (in W)
13447.968	0.300s	6.6165
8431.488	0.270s	5.96491
5392.32	0.250s	5.53552
3301.248	0.230s	4.99614
		
5406	0.040s	0.99229
3222.6	0.020s	0.89004
1801.8	0.010s	0.52232
1002.8	0.030s	0.37584
		
3428.76	0.040s	0.8681
2044.8	0.030s	0.53516
1188.96	0.010s	0.52685
627.96	0.030s	0.38749
		
9685.152	0.280s	6.30989
5491.392	0.230s	5.03116
3342.816	0.110s	4.28193
1991.712	0.100s	3.8531
		
3222.2	0.030s	0.57993
1863.2	0.010s	0.42998
1069	0.030s	0.33287
574.6	0.020s	0.24417
		
3811.32	0.020s	1.02194
2387.76	0.040s	0.70799
1423.2	0.010s	0.44816
792.24	0.030s	0.45495
		
12294.912	0.300s	6.31422
6231.456	0.130s	4.90889
3841.728	0.200s	4.3945
2371.776	0.110s	4.25545
		
3822	0.040s	0.60707
2291.6	0.010s	0.45847
1322.8	0.010s	0.13216
731.2	0.010s	0.29878

