Seq Name,Codec Name,Config Name,Bitrate (kbps),CPU Time,Power Consumption (in W)
Kimono_1920x1080_24_QP_22_hm,hm,encoder_intra_main.cfg,13447.968,0.300s,6.6165
Kimono_1920x1080_24_QP_27_hm,hm,encoder_intra_main.cfg,8431.488,0.270s,5.96491
Kimono_1920x1080_24_QP_32_hm,hm,encoder_intra_main.cfg,5392.32,0.250s,5.53552
Kimono_1920x1080_24_QP_37_hm,hm,encoder_intra_main.cfg,3301.248,0.230s,4.99614
BasketballPass_416x240_50_QP_22_hm,hm,encoder_intra_main.cfg,5406,0.040s,0.99229
BasketballPass_416x240_50_QP_27_hm,hm,encoder_intra_main.cfg,3222.6,0.020s,0.89004
BasketballPass_416x240_50_QP_32_hm,hm,encoder_intra_main.cfg,1801.8,0.010s,0.52232
BasketballPass_416x240_50_QP_37_hm,hm,encoder_intra_main.cfg,1002.8,0.030s,0.37584
RaceHorses_416x240_30_QP_22_hm,hm,encoder_lowdelay_main.cfg,3428.76,0.040s,0.8681
RaceHorses_416x240_30_QP_27_hm,hm,encoder_lowdelay_main.cfg,2044.8,0.030s,0.53516
RaceHorses_416x240_30_QP_32_hm,hm,encoder_lowdelay_main.cfg,1188.96,0.010s,0.52685
RaceHorses_416x240_30_QP_37_hm,hm,encoder_lowdelay_main.cfg,627.96,0.030s,0.38749
Kimono_1920x1080_24_QP_22_hm,hm,encoder_lowdelay_main.cfg,9685.152,0.280s,6.30989
Kimono_1920x1080_24_QP_27_hm,hm,encoder_lowdelay_main.cfg,5491.392,0.230s,5.03116
Kimono_1920x1080_24_QP_32_hm,hm,encoder_lowdelay_main.cfg,3342.816,0.110s,4.28193
Kimono_1920x1080_24_QP_37_hm,hm,encoder_lowdelay_main.cfg,1991.712,0.100s,3.8531
BasketballPass_416x240_50_QP_22_hm,hm,encoder_lowdelay_main.cfg,3222.2,0.030s,0.57993
BasketballPass_416x240_50_QP_27_hm,hm,encoder_lowdelay_main.cfg,1863.2,0.010s,0.42998
BasketballPass_416x240_50_QP_32_hm,hm,encoder_lowdelay_main.cfg,1069,0.030s,0.33287
BasketballPass_416x240_50_QP_37_hm,hm,encoder_lowdelay_main.cfg,574.6,0.020s,0.24417
RaceHorses_416x240_30_QP_22_hm,hm,encoder_randomaccess_main.cfg,3811.32,0.020s,1.02194
RaceHorses_416x240_30_QP_27_hm,hm,encoder_randomaccess_main.cfg,2387.76,0.040s,0.70799
RaceHorses_416x240_30_QP_32_hm,hm,encoder_randomaccess_main.cfg,1423.2,0.010s,0.44816
RaceHorses_416x240_30_QP_37_hm,hm,encoder_randomaccess_main.cfg,792.24,0.030s,0.45495
Kimono_1920x1080_24_QP_22_hm,hm,encoder_randomaccess_main.cfg,12294.912,0.300s,6.31422
Kimono_1920x1080_24_QP_27_hm,hm,encoder_randomaccess_main.cfg,6231.456,0.130s,4.90889
Kimono_1920x1080_24_QP_32_hm,hm,encoder_randomaccess_main.cfg,3841.728,0.200s,4.3945
Kimono_1920x1080_24_QP_37_hm,hm,encoder_randomaccess_main.cfg,2371.776,0.110s,4.25545
BasketballPass_416x240_50_QP_22_hm,hm,encoder_randomaccess_main.cfg,3822,0.040s,0.60707
BasketballPass_416x240_50_QP_27_hm,hm,encoder_randomaccess_main.cfg,2291.6,0.010s,0.45847
BasketballPass_416x240_50_QP_32_hm,hm,encoder_randomaccess_main.cfg,1322.8,0.010s,0.13216
BasketballPass_416x240_50_QP_37_hm,hm,encoder_randomaccess_main.cfg,731.2,0.010s,0.29878
