Bitrate	Y-PSNR	CPU Time	Encoding_FPS/Frame_Rate
5232.24	42.2153	1.970s	0.034
3269.52	38.002	2.150s	0.031
1897.56	33.9983	1.278s	0.052
1027.08	30.5315	0.930s	0.072
13447.968	43.0928	28.680s	0.003
8431.488	41.7828	24.158s	0.003
5392.32	39.9861	21.220s	0.004
3301.248	37.5362	20.550s	0.004
5406	42.5746	1.180s	0.034
3222.6	39.0511	1.000s	0.04
1801.8	35.5794	1.540s	0.026
1002.8	32.3685	0.730s	0.055
3428.76	41.0101	4.280s	0.016
2044.8	36.8827	3.190s	0.021
1188.96	33.2687	2.960s	0.023
627.96	30.0505	1.610s	0.041
9685.152	42.6419	49.070s	0.002
5491.392	40.9402	42.114s	0.002
3342.816	38.8746	30.178s	0.003
1991.712	36.489	29.989s	0.003
3222.2	42.3776	1.440s	0.028
1863.2	38.8093	1.850s	0.022
1069	35.5842	1.390s	0.029
574.6	32.4722	0.830s	0.048
3811.32	41.5252	4.140s	0.016
2387.76	37.5561	2.870s	0.023
1423.2	34.0626	2.270s	0.029
792.24	30.9079	1.720s	0.039
12294.912	42.7608	47.830s	0.002
6231.456	40.9628	39.090s	0.002
3841.728	39.1509	34.770s	0.002
2371.776	36.949	27.200s	0.003
3822	43.2122	1.530s	0.026
2291.6	39.752	1.450s	0.028
1322.8	36.6218	1.240s	0.032
731.2	33.4731	1.000s	0.04

