Class,CPU Time (%)
xRateDistOptQuant,20.722
getSigCtxInc,3.964
xEstimateInterResidualQT,3.964
codeCoeffNxN,3.243
xPredIntraAng,2.883
xCalcHADs4x4,2.703
"filter<(int)8, (bool)1, (bool)0, (bool)1>",2.703
xIntraCodingTUBlock,2.342
filterCopy,1.982
encodeBin,1.621
xGetSSE8,1.442
xPredInterUni,1.441
getDistPart,1.441
xGetSSE32,1.441
"filter<(int)4, (bool)0, (bool)1, (bool)1>",1.261
xGetSAD8,1.261
load,1.081
xPatternSearch,1.081
"filter<(int)8, (bool)0, (bool)1, (bool)0>",1.081
estLastSignificantPositionBit,1.081
"filter<(int)8, (bool)1, (bool)0, (bool)0>",1.081
estSignificantMapBit,0.901
encodeCoeffNxN,0.901
xGetSSE16,0.901
subtract,0.721
xRecurIntraCodingLumaQT,0.721
xTZSearchHelp,0.721
rdpcmNxN,0.542
estIntraPredLumaQT,0.541
xGetSAD16,0.541
getPUAboveRight,0.541
resetBits,0.541
"filter<(int)8, (bool)1, (bool)1, (bool)1>",0.541
nextSection,0.541
codeQtCbf,0.541
xEncodeInterResidualQT,0.541
addAvg,0.54
initEstData,0.54
countNonZeroCoeffs,0.361
setDistParam,0.36
GetEquivalentLog2TrSize,0.36
xITransformSkip,0.36
setMVPIdxSubParts,0.36
xGetIntraBitsQT,0.36
invRdpcmNxN,0.36
xWriteCoefRemainExGolomb,0.36
getPUAbove,0.36
transformNxN,0.36
getBlkStats,0.36
getIntraDirPredictor,0.36
codePartSize,0.36
getAddr,0.36
estBit,0.36
xPatternRefinement,0.36
copyPartToPartComponentMxN,0.36
xExtDIFUpSamplingQ,0.36
copyState,0.36
xRecurIntraChromaCodingQT,0.36
